timestamp,cpu_percent,memory_rss_mb
22:58:04,50.4,13.296875
22:58:05,0.0,13.296875
22:58:06,0.0,13.296875
22:58:07,99.7,14.92578125
22:58:08,86.0,15.28125
22:58:09,71.7,15.1875
22:58:10,85.2,15.79296875
22:58:11,100.3,15.6484375
22:58:12,86.0,15.83203125
22:58:14,113.6,16.58203125
22:58:15,99.7,16.80078125
22:58:16,116.4,16.484375
22:58:17,35.8,16.6328125
22:58:18,149.6,17.39453125
22:58:19,134.4,17.0703125
22:58:20,99.7,17.79296875
22:58:21,99.7,18.33984375
22:58:23,86.0,18.17578125
22:58:24,99.4,18.328125
22:58:25,116.4,17.73828125
22:58:26,86.0,18.66796875
22:58:27,100.8,18.890625
22:58:28,71.0,19.25
22:58:29,86.0,19.73046875
22:58:30,100.3,19.56640625
22:58:31,99.4,19.73046875
