timestamp,cpu_percent,memory_rss_mb
22:55:43,83.1,13.26953125
22:55:45,0.0,13.26953125
22:55:46,0.0,13.26953125
22:55:47,12.5,13.51953125
22:55:48,86.0,14.58203125
22:55:49,100.3,14.83203125
22:55:50,99.4,14.7578125
22:55:51,86.0,15.00390625
22:55:52,100.3,15.08984375
22:55:54,116.4,16.109375
22:55:55,116.4,15.76171875
22:55:56,99.7,16.73046875
22:55:57,100.8,16.703125
22:55:58,116.4,16.875
22:55:59,114.7,17.12890625
22:56:00,100.3,17.328125
22:56:01,113.6,17.41015625
22:56:02,86.0,18.078125
22:56:03,116.4,17.85546875
22:56:05,134.4,18.1484375
22:56:06,85.2,18.18359375
22:56:07,83.1,17.40625
22:56:08,100.8,18.5625
22:56:09,85.2,17.91796875
22:56:10,86.0,18.98828125
22:56:11,85.2,19.28515625
