timestamp,cpu_percent,memory_rss_mb
22:50:31,42.6,13.13671875
22:50:32,28.7,14.11328125
22:50:33,71.7,14.515625
22:50:35,85.2,15.3828125
22:50:36,129.0,15.25
22:50:37,113.6,15.50390625
22:50:38,129.0,15.77734375
22:50:39,86.0,16.109375
22:50:40,116.4,16.38671875
22:50:41,100.8,16.55078125
22:50:42,99.7,16.1953125
22:50:43,83.1,16.57421875
22:50:44,99.7,17.38671875
22:50:46,99.7,17.3515625
22:50:47,86.0,17.82421875
22:50:48,149.6,17.9921875
22:50:49,117.6,18.1015625
22:50:50,116.4,18.2578125
22:50:51,85.2,18.41015625
22:50:52,86.0,18.6328125
22:50:53,85.2,18.8515625
22:50:54,134.4,18.9765625
22:50:56,100.3,19.1171875
22:50:57,99.4,18.671875
22:50:58,117.6,19.29296875
22:50:59,99.7,19.3359375
